"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"April 22, 2018",Tennessee,Antioch,"3571 Murfreesboro Pike",4,4,N/A
"April 20, 2018",California,"San Francisco","3rd Street and Quesada Ave",1,5,N/A
"April 18, 2018","North Carolina",Asheville,"73 Hansel Ave",4,3,N/A
"April 15, 2018",Louisiana,Shreveport,"6956 Jewella Ave",0,6,N/A
"April 9, 2018",California,Vallejo,"201 Maine St",0,4,N/A
"April 8, 2018","North Carolina",Hickory,"247 1st Ave NW",1,3,N/A
"April 8, 2018",Florida,Miami,"1300 block of NW 63rd Terrace",2,2,N/A
"April 6, 2018",Florida,Jacksonville,"6100 block of Transylvania Ave",0,4,N/A
"April 6, 2018",Virginia,"Virginia Beach","5800 block of Pickering St",1,3,N/A
"April 4, 2018",Louisiana,"New Orleans","3300 Garden Oaks Drive",2,2,N/A
"April 2, 2018",Texas,Houston,"8500 block of Redcliff Rd",1,3,N/A
"April 1, 2018",Alabama,Mobile,"3556 Halls Mill Rd",1,4,N/A
"April 1, 2018",Michigan,Saginaw,"600 block of Yale St",0,5,N/A
"March 31, 2018","New Jersey","Asbury Park","Atlantic Ave and Monmouth Ave",0,5,N/A
"March 29, 2018",Texas,Plano,"7401 Alma Dr",1,3,N/A
"March 29, 2018","New Jersey",Camden,"Kaighn Ave and Haddon Ave",0,4,N/A
"March 24, 2018",Utah,"Salt Lake City (West Valley City)","3180 South 5600 West",0,4,N/A
"March 21, 2018",California,"San Francisco","949 Geneva Ave",1,5,N/A
"March 17, 2018",Kentucky,Louisville,"2928 W Kentucky St",0,7,N/A
"March 17, 2018",Illinois,Harvey,"16700 S Halsted St",0,4,N/A
"March 13, 2018",Florida,Macclenny,"South Blvd",0,4,N/A
"March 12, 2018",California,Modesto,"2000 block of Robertson Rd",0,4,N/A
"March 11, 2018",Illinois,Champaign,"700 block of N Hickory St",1,3,N/A
"March 11, 2018",Michigan,Saginaw,"Cumberland Ave and Hess St",0,5,N/A
"March 9, 2018","North Carolina",Wadesboro,"1300 E Caswell St",3,1,N/A
"March 9, 2018",Indiana,"South Bend","800 block of E Dayton St",0,6,N/A
"March 7, 2018",Alabama,Hurtsboro,"531 Main Street",2,2,N/A
"March 4, 2018",Illinois,Rockford,"400 Howard Ave",1,4,N/A
"March 3, 2018",Florida,Miami,"1300 Block of NW 62nd Ln",0,4,N/A
"March 3, 2018","New York",Brooklyn,"Kings Highway and Utica Avenue",1,3,N/A
"February 27, 2018",Connecticut,Bridgeport,"1306 Stratford Ave",0,4,N/A
"February 26, 2018",Michigan,Detroit,"22000 block of Fenkell Ave",5,0,N/A
"February 23, 2018",Florida,"Palm Beach Gardens (Riviera Beach)","W 23rd St",1,3,N/A
"February 18, 2018",Texas,"San Antonio","2893 Cinema Ridge",0,5,N/A
"February 17, 2018",Kansas,"Kansas City","1615 Minnesota",1,7,N/A
"February 17, 2018",Tennessee,Memphis,"3188 N Watkins Ave",0,5,N/A
"February 16, 2018",Oklahoma,"Oklahoma City","S Pennsylvania Ave and SW 15th St",1,3,N/A
"February 14, 2018",Florida,"Pompano Beach (Parkland)","5901 Pine Island Rd",17,17,N/A
"February 13, 2018",Louisiana,"New Orleans","5400 block of Andry Street",2,3,N/A
"February 11, 2018",Michigan,Detroit,"19432 Lamont Street",4,3,N/A
"February 10, 2018",Kentucky,Paintsville,"413 Mill Street",5,0,N/A
"February 7, 2018",Florida,"Lake Worth (Lantana)","I-95 and Lantana Ave",3,3,N/A
"February 5, 2018",Colorado,"Colorado Springs","4225 Galley Rd",2,4,N/A
"February 3, 2018",Ohio,"Cleveland (Garfield Heights)","11321 Broadway Ave",1,5,N/A
"January 31, 2018",Missouri,"Saint Louis","Goodfellow Blvd and Dr Martin Luther King Dr",0,4,N/A
"January 28, 2018",Pennsylvania,Melcroft,"1301 Indian Creek Valley Rd",5,0,N/A
"January 28, 2018",Pennsylvania,Reading,"123 S 3rd St",4,0,N/A
"January 28, 2018",Indiana,Indianapolis,"1313 N Sherman Dr",2,3,N/A
"January 27, 2018",California,"Los Angeles","243 East 119th St",0,5,N/A
"January 27, 2018",Kentucky,"Bowling Green","645 Pearl Street",0,4,N/A
"January 25, 2018","District of Columbia",Washington,"1600 block of Kenilworth Ave NE",0,4,N/A
"January 23, 2018",Pennsylvania,Philadelphia,"N 24th St and Ridge Ave",0,4,N/A
"January 23, 2018",Kentucky,Benton,"416 High School Road",2,14,N/A
"January 21, 2018",Florida,Orlando,"3101 Willow Bend Blvd",0,4,N/A
"January 21, 2018",Illinois,Chicago,"3200 W Division St",0,4,N/A
"January 17, 2018","District of Columbia",Washington,"2000 block of 16th St SE",1,3,N/A
"January 16, 2018","South Carolina",York,"3042 Farrier Lane",1,4,N/A
"January 15, 2018",Florida,Alachua,"14223 NW 156th Pl",0,5,N/A
"January 14, 2018",Alabama,Eutaw,"809 Mesopotamia St",1,4,N/A
"January 14, 2018",Alabama,Madison,"101 Westchester Dr",0,4,N/A
"January 12, 2018",Tennessee,Nashville,"2614 Jenkins Ct",3,2,N/A
"January 11, 2018",Missouri,"Saint Robert (St Robert)","St Robert Outer Road and Houston Road",2,2,N/A
"January 7, 2018",Alabama,"Union Springs","U.S. Highway 29",1,5,N/A
"January 7, 2018",Florida,Plantation,"5225 W Broward Blvd",0,4,N/A
"January 5, 2018",Mississippi,Hattiesburg,"6168 US 49",0,6,N/A
"January 4, 2018",Arkansas,Brinkley,"615 W 6th St",1,3,N/A
"January 1, 2018",Alabama,Huntsville,"2025 Sparkman Dr NW",1,3,N/A
